Bridge_ID,Location,Age (years),Material,Length (m),Width (m),Height (m),Traffic_Volume (vehicles/day),Weather_Conditions,Water_Flow_Rate (m³/s),Maintenance_History,Stress (MPa),Strain (%),Tensile_Strength (MPa),Rainfall (mm),Material_Composition,Bridge_Design,Construction_Quality,Temperature (°C),Humidity (%),Collapse_Status
21,Region_1,36,Wood,53.9003900390039,5.09000900090009,10.18001800180018,119.8019801980198,Rainy,10.00100010001,2010-01-21,0.20002000200020004,0.020002000200020003,201.6001600160016,1.000100010001,"Concrete 80%, Wood 20%",Truss,Good,-29.83998399839984,0.20002000200020004,Standing
22,Region_2,42,Steel,54.095409540954094,5.094509450945094,10.189018901890188,120.79207920792079,Sunny,10.501050105010501,2010-01-22,0.21002100210021002,0.021002100210021003,201.68016801680167,1.05010501050105,"Steel 70%, Concrete 30%",Arch,Good,-29.831983198319833,0.21002100210021002,Standing
23,Region_3,30,Concrete,54.29042904290429,5.099009900990099,10.198019801980198,121.78217821782178,Snowy,11.001100110011,2010-01-23,0.22002200220022003,0.022002200220022004,201.76017601760176,1.1001100110011,"Concrete 80%, Wood 20%",Beam,Good,-29.823982398239824,0.22002200220022003,Standing
24,Region_4,43,Wood,54.485448544854485,5.103510351035103,10.207020702070206,122.77227722772277,Cloudy,11.5011501150115,2010-01-24,0.23002300230023004,0.023002300230023004,201.84018401840183,1.15011501150115,"Concrete 80%, Wood 20%",Truss,Good,-29.815981598159816,0.23002300230023004,Standing
25,Region_5,41,Steel,54.68046804680468,5.108010801080108,10.216021602160216,123.76237623762376,Windy,12.001200120012001,2010-01-25,0.24002400240024002,0.024002400240024,201.92019201920192,1.2001200120012,"Steel 70%, Concrete 30%",Arch,Good,-29.807980798079807,0.24002400240024002,Standing
26,Region_1,41,Concrete,54.875487548754876,5.112511251125112,10.225022502250225,124.75247524752476,Rainy,12.5012501250125,2010-01-26,0.25002500250025006,0.025002500250025,202.000200020002,1.25012501250125,"Concrete 80%, Wood 20%",Beam,Good,-29.7999799979998,0.25002500250025006,Standing
27,Region_2,13,Wood,55.07050705070507,5.117011701170117,10.234023402340235,125.74257425742574,Sunny,13.001300130013,2010-01-27,0.26002600260026004,0.026002600260026,202.08020802080208,1.3001300130013,"Concrete 80%, Wood 20%",Truss,Good,-29.79197919791979,0.26002600260026004,Standing
28,Region_3,7,Steel,55.26552655265527,5.121512151215121,10.243024302430243,126.73267326732673,Snowy,13.5013501350135,2010-01-28,0.27002700270027,0.027002700270027002,202.16021602160217,1.3501350135013501,"Steel 70%, Concrete 30%",Arch,Good,-29.783978397839785,0.27002700270027,Standing
29,Region_4,6,Concrete,55.46054605460546,5.126012601260126,10.252025202520253,127.72277227722772,Cloudy,14.001400140014,2010-01-29,0.28002800280028006,0.028002800280028002,202.24022402240223,1.4001400140014,"Concrete 80%, Wood 20%",Beam,Good,-29.775977597759777,0.28002800280028006,Standing
30,Region_5,43,Wood,55.65556555655566,5.1305130513051305,10.261026102610261,128.7128712871287,Windy,14.5014501450145,2010-01-30,0.29002900290029004,0.029002900290029002,202.32023202320232,1.45014501450145,"Concrete 80%, Wood 20%",Truss,Good,-29.76797679767977,0.29002900290029004,Standing
31,Region_1,2,Steel,55.85058505850585,5.1350135013501355,10.270027002700271,129.7029702970297,Rainy,15.001500150015,2010-01-31,0.3000300030003,0.030003000300030003,202.40024002400241,1.5001500150015001,"Steel 70%, Concrete 30%",Arch,Good,-29.75997599759976,0.3000300030003,Standing
32,Region_2,26,Concrete,56.04560456045604,5.13951395139514,10.27902790279028,130.69306930693068,Sunny,15.5015501550155,2010-02-01,0.31003100310031007,0.031003100310031003,202.48024802480248,1.55015501550155,"Concrete 80%, Wood 20%",Beam,Good,-29.75197519751975,0.31003100310031007,Standing
33,Region_3,4,Wood,56.24062406240624,5.144014401440144,10.288028802880287,131.68316831683168,Snowy,16.001600160016,2010-02-02,0.32003200320032005,0.032003200320032,202.56025602560257,1.6001600160016,"Concrete 80%, Wood 20%",Truss,Good,-29.743974397439743,0.32003200320032005,Standing
34,Region_4,49,Steel,56.43564356435644,5.148514851485149,10.297029702970297,132.67326732673268,Cloudy,16.5016501650165,2010-02-03,0.33003300330033003,0.033003300330033,202.64026402640263,1.6501650165016502,"Steel 70%, Concrete 30%",Arch,Good,-29.735973597359735,0.33003300330033003,Standing
35,Region_5,30,Concrete,56.63066306630663,5.153015301530153,10.306030603060305,133.66336633663366,Windy,17.001700170017,2010-02-04,0.34003400340034007,0.034003400340034004,202.72027202720272,1.7001700170017,"Concrete 80%, Wood 20%",Beam,Good,-29.72797279727973,0.34003400340034007,Standing
36,Region_1,30,Wood,56.82568256825682,5.157515751575158,10.315031503150315,134.65346534653466,Rainy,17.5017501750175,2010-02-05,0.35003500350035005,0.035003500350035,202.8002800280028,1.75017501750175,"Concrete 80%, Wood 20%",Truss,Good,-29.71997199719972,0.35003500350035005,Standing
37,Region_2,3,Steel,57.02070207020702,5.162016201620162,10.324032403240324,135.64356435643566,Sunny,18.001800180018,2010-02-06,0.36003600360036003,0.036003600360036005,202.88028802880288,1.8001800180018002,"Steel 70%, Concrete 30%",Arch,Good,-29.711971197119713,0.36003600360036003,Standing
38,Region_3,38,Concrete,57.215721572157214,5.166516651665167,10.333033303330334,136.63366336633663,Snowy,18.5018501850185,2010-02-07,0.37003700370037007,0.037003700370037,202.96029602960297,1.85018501850185,"Concrete 80%, Wood 20%",Beam,Good,-29.703970397039704,0.37003700370037007,Standing
39,Region_4,25,Wood,57.41074107410741,5.171017101710171,10.342034203420342,137.6237623762376,Cloudy,19.001900190019,2010-02-08,0.38003800380038005,0.038003800380038005,203.04030403040304,1.9001900190019,"Concrete 80%, Wood 20%",Truss,Good,-29.695969596959696,0.38003800380038005,Standing
40,Region_5,47,Steel,57.605760576057605,5.175517551755176,10.351035103510352,138.6138613861386,Windy,19.5019501950195,2010-02-09,0.39003900390039004,0.039003900390039,203.12031203120313,1.9501950195019502,"Steel 70%, Concrete 30%",Arch,Good,-29.687968796879687,0.39003900390039004,Standing
41,Region_1,11,Concrete,57.800780078007804,5.18001800180018,10.36003600360036,139.6039603960396,Rainy,20.00200020002,2010-02-10,0.4000400040004001,0.040004000400040006,203.2003200320032,2.000200020002,"Concrete 80%, Wood 20%",Beam,Good,-29.67996799679968,0.4000400040004001,Standing
42,Region_2,39,Wood,57.995799579957996,5.184518451845184,10.369036903690368,140.59405940594058,Sunny,20.5020502050205,2010-02-11,0.41004100410041006,0.041004100410041,203.28032803280328,2.05020502050205,"Concrete 80%, Wood 20%",Truss,Good,-29.67196719671967,0.41004100410041006,Standing
43,Region_3,38,Steel,58.19081908190819,5.189018901890189,10.378037803780378,141.58415841584159,Snowy,21.002100210021002,2010-02-12,0.42004200420042004,0.04200420042004201,203.36033603360335,2.1002100210021,"Steel 70%, Concrete 30%",Arch,Good,-29.663966396639665,0.42004200420042004,Standing
44,Region_4,42,Concrete,58.38583858385839,5.193519351935193,10.387038703870386,142.5742574257426,Cloudy,21.5021502150215,2010-02-13,0.4300430043004301,0.043004300430043,203.44034403440344,2.15021502150215,"Concrete 80%, Wood 20%",Beam,Good,-29.655965596559657,0.4300430043004301,Standing
45,Region_5,12,Wood,58.58085808580858,5.198019801980198,10.396039603960396,143.56435643564356,Windy,22.002200220022,2010-02-14,0.44004400440044006,0.04400440044004401,203.52035203520353,2.2002200220022,"Concrete 80%, Wood 20%",Truss,Good,-29.64796479647965,0.44004400440044006,Standing
46,Region_1,17,Steel,58.77587758775878,5.202520252025202,10.405040504050405,144.55445544554456,Rainy,22.5022502250225,2010-02-15,0.45004500450045004,0.045004500450045004,203.6003600360036,2.25022502250225,"Steel 70%, Concrete 30%",Arch,Good,-29.63996399639964,0.45004500450045004,Standing
47,Region_2,18,Concrete,58.97089708970897,5.207020702070207,10.414041404140415,145.54455445544554,Sunny,23.002300230023,2010-02-16,0.4600460046004601,0.04600460046004601,203.68036803680369,2.3002300230023,"Concrete 80%, Wood 20%",Beam,Good,-29.63196319631963,0.4600460046004601,Standing
48,Region_3,8,Wood,59.16591659165917,5.211521152115211,10.423042304230423,146.53465346534654,Snowy,23.5023502350235,2010-02-17,0.47004700470047006,0.047004700470047005,203.76037603760375,2.35023502350235,"Concrete 80%, Wood 20%",Truss,Good,-29.623962396239623,0.47004700470047006,Standing
49,Region_4,30,Steel,59.36093609360936,5.216021602160216,10.432043204320433,147.5247524752475,Cloudy,24.002400240024002,2010-02-18,0.48004800480048004,0.048004800480048,203.84038403840384,2.4002400240024,"Steel 70%, Concrete 30%",Arch,Good,-29.615961596159615,0.48004800480048004,Standing
50,Region_5,27,Concrete,59.55595559555955,5.2205220522052205,10.441044104410441,148.5148514851485,Windy,24.5024502450245,2010-02-19,0.4900490049004901,0.049004900490049005,203.92039203920393,2.45024502450245,"Concrete 80%, Wood 20%",Beam,Good,-29.60796079607961,0.4900490049004901,Standing
51,Region_1,3,Wood,59.75097509750975,5.225022502250225,10.45004500450045,149.5049504950495,Rainy,25.002500250025,2010-02-20,0.5000500050005001,0.05000500050005,204.000400040004,2.5002500250025,"Concrete 80%, Wood 20%",Truss,Good,-29.5999599959996,0.5000500050005001,Standing
52,Region_2,43,Steel,59.945994599459944,5.22952295229523,10.45904590459046,150.4950495049505,Sunny,25.5025502550255,2010-02-21,0.51005100510051,0.051005100510051006,204.0804080408041,2.5502550255025502,"Steel 70%, Concrete 30%",Arch,Good,-29.591959195919593,0.51005100510051,Standing
53,Region_3,36,Concrete,60.14101410141014,5.234023402340234,10.468046804680467,151.4851485148515,Snowy,26.002600260026,2010-02-22,0.5200520052005201,0.052005200520052,204.16041604160415,2.6002600260026,"Concrete 80%, Wood 20%",Beam,Good,-29.583958395839584,0.5200520052005201,Standing
54,Region_4,29,Wood,60.336033603360335,5.238523852385239,10.477047704770477,152.4752475247525,Cloudy,26.5026502650265,2010-02-23,0.5300530053005301,0.05300530053005301,204.24042404240424,2.65026502650265,"Concrete 80%, Wood 20%",Truss,Good,-29.575957595759576,0.5300530053005301,Standing
55,Region_5,48,Steel,60.531053105310534,5.243024302430243,10.486048604860486,153.46534653465346,Windy,27.002700270027,2010-02-24,0.54005400540054,0.054005400540054004,204.32043204320433,2.7002700270027002,"Steel 70%, Concrete 30%",Arch,Good,-29.567956795679567,0.54005400540054,Standing
56,Region_1,5,Concrete,60.726072607260726,5.247524752475248,10.495049504950495,154.45544554455446,Rainy,27.502750275027502,2010-02-25,0.5500550055005501,0.05500550055005501,204.4004400440044,2.75027502750275,"Concrete 80%, Wood 20%",Beam,Good,-29.55995599559956,0.5500550055005501,Standing
57,Region_2,39,Wood,60.92109210921092,5.252025202520252,10.504050405040504,155.44554455445544,Sunny,28.002800280028,2010-02-26,0.5600560056005601,0.056005600560056004,204.4804480448045,2.8002800280028,"Concrete 80%, Wood 20%",Truss,Good,-29.55195519551955,0.5600560056005601,Standing
58,Region_3,20,Steel,61.11611161116112,5.256525652565257,10.513051305130514,156.43564356435644,Snowy,28.5028502850285,2010-02-27,0.57005700570057,0.05700570057005701,204.56045604560455,2.8502850285028503,"Steel 70%, Concrete 30%",Arch,Good,-29.543954395439545,0.57005700570057,Standing
59,Region_4,36,Concrete,61.311131113111315,5.261026102610261,10.522052205220522,157.4257425742574,Cloudy,29.002900290029,2010-02-28,0.5800580058005801,0.058005800580058005,204.64046404640465,2.9002900290029,"Concrete 80%, Wood 20%",Beam,Good,-29.535953595359537,0.5800580058005801,Standing
60,Region_5,18,Wood,61.50615061506151,5.265526552655266,10.531053105310532,158.41584158415841,Windy,29.5029502950295,2010-03-01,0.5900590059005901,0.05900590059005901,204.7204720472047,2.95029502950295,"Concrete 80%, Wood 20%",Truss,Good,-29.52795279527953,0.5900590059005901,Standing
61,Region_1,44,Steel,61.7011701170117,5.27002700270027,10.54005400540054,159.40594059405942,Rainy,30.00300030003,2010-03-02,0.6000600060006,0.060006000600060005,204.8004800480048,3.0003000300030003,"Steel 70%, Concrete 30%",Arch,Good,-29.51995199519952,0.6000600060006,Standing
62,Region_2,16,Concrete,61.8961896189619,5.274527452745274,10.549054905490548,160.3960396039604,Sunny,30.503050305030502,2010-03-03,0.6100610061006101,0.06100610061006101,204.8804880488049,3.05030503050305,"Concrete 80%, Wood 20%",Beam,Good,-29.51195119511951,0.6100610061006101,Standing
63,Region_3,10,Wood,62.09120912091209,5.279027902790279,10.558055805580558,161.3861386138614,Snowy,31.003100310031,2010-03-04,0.6200620062006201,0.062006200620062006,204.96049604960496,3.1003100310031,"Concrete 80%, Wood 20%",Truss,Good,-29.503950395039503,0.6200620062006201,Standing
64,Region_4,16,Steel,62.28622862286228,5.283528352835283,10.567056705670566,162.3762376237624,Cloudy,31.5031503150315,2010-03-05,0.6300630063006301,0.063006300630063,205.04050405040505,3.1503150315031503,"Steel 70%, Concrete 30%",Arch,Good,-29.495949594959495,0.6300630063006301,Standing
65,Region_5,4,Concrete,62.48124812481248,5.288028802880288,10.576057605760576,163.36633663366337,Windy,32.003200320032,2010-03-06,0.6400640064006401,0.064006400640064,205.1205120512051,3.2003200320032,"Concrete 80%, Wood 20%",Beam,Good,-29.48794879487949,0.6400640064006401,Standing
66,Region_1,1,Wood,62.67626762676268,5.292529252925292,10.585058505850585,164.35643564356434,Rainy,32.503250325032504,2010-03-07,0.6500650065006501,0.06500650065006501,205.2005200520052,3.25032503250325,"Concrete 80%, Wood 20%",Truss,Good,-29.47994799479948,0.6500650065006501,Standing
67,Region_2,37,Steel,62.87128712871287,5.297029702970297,10.594059405940595,165.34653465346534,Sunny,33.003300330033,2010-03-08,0.6600660066006601,0.066006600660066,205.28052805280527,3.3003300330033003,"Steel 70%, Concrete 30%",Arch,Good,-29.471947194719473,0.6600660066006601,Standing
68,Region_3,4,Concrete,63.066306630663064,5.301530153015301,10.603060306030603,166.33663366336634,Snowy,33.5033503350335,2010-03-09,0.6700670067006701,0.067006700670067,205.36053605360536,3.35033503350335,"Concrete 80%, Wood 20%",Beam,Good,-29.463946394639464,0.6700670067006701,Standing
69,Region_4,23,Wood,63.26132613261326,5.306030603060306,10.612061206120613,167.32673267326732,Cloudy,34.003400340034,2010-03-10,0.6800680068006801,0.06800680068006801,205.44054405440545,3.4003400340034,"Concrete 80%, Wood 20%",Truss,Good,-29.455945594559456,0.6800680068006801,Standing
70,Region_5,23,Steel,63.456345634563455,5.3105310531053105,10.621062106210621,168.31683168316832,Windy,34.5034503450345,2010-03-11,0.6900690069006901,0.06900690069006901,205.5205520552055,3.4503450345034503,"Steel 70%, Concrete 30%",Arch,Good,-29.447944794479447,0.6900690069006901,Standing
71,Region_1,36,Concrete,63.65136513651365,5.3150315031503155,10.630063006300631,169.30693069306932,Rainy,35.003500350035,2010-03-12,0.7000700070007001,0.07000700070007,205.6005600560056,3.5003500350035,"Concrete 80%, Wood 20%",Beam,Good,-29.43994399439944,0.7000700070007001,Standing
72,Region_2,22,Wood,63.846384638463846,5.31953195319532,10.63906390639064,170.2970297029703,Sunny,35.5035503550355,2010-03-13,0.7100710071007101,0.071007100710071,205.68056805680567,3.55035503550355,"Concrete 80%, Wood 20%",Truss,Good,-29.43194319431943,0.7100710071007101,Standing
73,Region_3,21,Steel,64.04140414041404,5.324032403240324,10.648064806480647,171.2871287128713,Snowy,36.003600360036,2010-03-14,0.7200720072007201,0.07200720072007201,205.76057605760576,3.6003600360036003,"Steel 70%, Concrete 30%",Arch,Good,-29.423942394239425,0.7200720072007201,Standing
74,Region_4,12,Concrete,64.23642364236423,5.328532853285329,10.657065706570657,172.2772277227723,Cloudy,36.5036503650365,2010-03-15,0.7300730073007301,0.07300730073007301,205.84058405840585,3.65036503650365,"Concrete 80%, Wood 20%",Beam,Good,-29.415941594159417,0.7300730073007301,Standing
75,Region_5,34,Wood,64.43144314431443,5.333033303330333,10.666066606660666,173.26732673267327,Windy,37.003700370037,2010-03-16,0.7400740074007401,0.074007400740074,205.92059205920592,3.7003700370037,"Concrete 80%, Wood 20%",Truss,Good,-29.40794079407941,0.7400740074007401,Standing
76,Region_1,20,Steel,64.62646264626463,5.337533753375338,10.675067506750676,174.25742574257424,Rainy,37.5037503750375,2010-03-17,0.7500750075007501,0.075007500750075,206.000600060006,3.7503750375037503,"Steel 70%, Concrete 30%",Arch,Good,-29.3999399939994,0.7500750075007501,Standing
77,Region_2,37,Concrete,64.82148214821483,5.342034203420342,10.684068406840684,175.24752475247524,Sunny,38.003800380038,2010-03-18,0.7600760076007601,0.07600760076007601,206.08060806080607,3.8003800380038,"Concrete 80%, Wood 20%",Beam,Good,-29.39193919391939,0.7600760076007601,Standing
78,Region_3,24,Wood,65.01650165016501,5.346534653465347,10.693069306930694,176.23762376237624,Snowy,38.503850385038504,2010-03-19,0.7700770077007701,0.07700770077007701,206.16061606160616,3.85038503850385,"Concrete 80%, Wood 20%",Truss,Good,-29.383938393839383,0.7700770077007701,Standing
79,Region_4,1,Steel,65.21152115211521,5.351035103510351,10.702070207020702,177.22772277227722,Cloudy,39.003900390039,2010-03-20,0.7800780078007801,0.078007800780078,206.24062406240625,3.9003900390039004,"Steel 70%, Concrete 30%",Arch,Good,-29.375937593759375,0.7800780078007801,Standing
80,Region_5,18,Concrete,65.40654065406541,5.355535553555356,10.711071107110712,178.21782178217822,Windy,39.5039503950395,2010-03-21,0.7900790079007901,0.07900790079007901,206.32063206320632,3.95039503950395,"Concrete 80%, Wood 20%",Beam,Good,-29.36793679367937,0.7900790079007901,Standing
81,Region_1,19,Wood,65.60156015601561,5.36003600360036,10.72007200720072,179.20792079207922,Rainy,40.00400040004,2010-03-22,0.8000800080008001,0.08000800080008001,206.4006400640064,4.000400040004,"Concrete 80%, Wood 20%",Truss,Good,-29.35993599359936,0.8000800080008001,Standing
82,Region_2,32,Steel,65.7965796579658,5.364536453645364,10.729072907290728,180.1980198019802,Sunny,40.5040504050405,2010-03-23,0.8100810081008101,0.081008100810081,206.48064806480647,4.05040504050405,"Steel 70%, Concrete 30%",Arch,Good,-29.351935193519353,0.8100810081008101,Standing
83,Region_3,10,Concrete,65.99159915991599,5.369036903690369,10.738073807380738,181.18811881188117,Snowy,41.004100410041,2010-03-24,0.8200820082008201,0.082008200820082,206.56065606560657,4.1004100410041,"Concrete 80%, Wood 20%",Beam,Good,-29.343934393439344,0.8200820082008201,Standing
84,Region_4,16,Wood,66.18661866186619,5.373537353735373,10.747074707470746,182.1782178217822,Cloudy,41.5041504150415,2010-03-25,0.8300830083008301,0.08300830083008301,206.64066406640663,4.15041504150415,"Concrete 80%, Wood 20%",Truss,Good,-29.335933593359336,0.8300830083008301,Standing
85,Region_5,21,Steel,66.38163816381638,5.378037803780378,10.756075607560756,183.16831683168317,Windy,42.004200420042004,2010-03-26,0.8400840084008401,0.08400840084008401,206.72067206720672,4.2004200420042,"Steel 70%, Concrete 30%",Arch,Good,-29.327932793279327,0.8400840084008401,Standing
86,Region_1,25,Concrete,66.57665766576658,5.382538253825382,10.765076507650765,184.15841584158414,Rainy,42.5042504250425,2010-03-27,0.8500850085008501,0.085008500850085,206.8006800680068,4.25042504250425,"Concrete 80%, Wood 20%",Beam,Good,-29.31993199319932,0.8500850085008501,Standing
87,Region_2,28,Wood,66.77167716771677,5.387038703870387,10.774077407740775,185.14851485148515,Sunny,43.004300430043,2010-03-28,0.8600860086008602,0.086008600860086,206.88068806880688,4.3004300430043,"Concrete 80%, Wood 20%",Truss,Good,-29.31193119311931,0.8600860086008602,Standing
88,Region_3,32,Steel,66.96669666966696,5.391539153915391,10.783078307830783,186.13861386138615,Snowy,43.5043504350435,2010-03-29,0.8700870087008701,0.08700870087008701,206.96069606960697,4.35043504350435,"Steel 70%, Concrete 30%",Arch,Good,-29.303930393039305,0.8700870087008701,Standing
89,Region_4,14,Concrete,67.16171617161716,5.396039603960396,10.792079207920793,187.12871287128712,Cloudy,44.004400440044,2010-03-30,0.8800880088008801,0.08800880088008801,207.04070407040703,4.4004400440044,"Concrete 80%, Wood 20%",Beam,Good,-29.295929592959297,0.8800880088008801,Standing
90,Region_5,26,Wood,67.35673567356736,5.4005400540054005,10.801080108010801,188.11881188118812,Windy,44.5044504450445,2010-03-31,0.8900890089008902,0.089008900890089,207.12071207120712,4.45044504450445,"Concrete 80%, Wood 20%",Truss,Good,-29.28792879287929,0.8900890089008902,Standing
91,Region_1,31,Steel,67.55175517551756,5.405040504050405,10.81008100810081,189.10891089108912,Rainy,45.004500450045,2010-04-01,0.9000900090009001,0.09000900090009001,207.2007200720072,4.5004500450045,"Steel 70%, Concrete 30%",Arch,Good,-29.27992799279928,0.9000900090009001,Standing
92,Region_2,44,Concrete,67.74677467746776,5.40954095409541,10.81908190819082,190.0990099009901,Sunny,45.504550455045504,2010-04-02,0.9100910091009101,0.09100910091009101,207.28072807280728,4.55045504550455,"Concrete 80%, Wood 20%",Beam,Good,-29.27192719271927,0.9100910091009101,Standing
93,Region_3,47,Wood,67.94179417941794,5.414041404140414,10.828082808280827,191.08910891089107,Snowy,46.004600460046,2010-04-03,0.9200920092009202,0.09200920092009202,207.36073607360737,4.6004600460046,"Concrete 80%, Wood 20%",Truss,Good,-29.263926392639263,0.9200920092009202,Standing
94,Region_4,28,Steel,68.13681368136814,5.418541854185419,10.837083708370837,192.07920792079207,Cloudy,46.5046504650465,2010-04-04,0.9300930093009301,0.093009300930093,207.44074407440743,4.65046504650465,"Steel 70%, Concrete 30%",Arch,Good,-29.255925592559255,0.9300930093009301,Standing
95,Region_5,33,Concrete,68.33183318331834,5.423042304230423,10.846084608460846,193.06930693069307,Windy,47.004700470047,2010-04-05,0.9400940094009401,0.09400940094009401,207.52075207520753,4.7004700470047,"Concrete 80%, Wood 20%",Beam,Good,-29.24792479247925,0.9400940094009401,Standing
